Company ID,Company Name,Service Areas,Pricing Models,Competitor Pricing,Service Offerings,Client Feedback and Ratings
27125,Williams-Holden,"South Jeremiah, Jonestown",Hourly Rate,Higher,"Painting, Maintenance, Renovation",4.7
27126,"Wang, Ross and Terry","Karenmouth, Hernandezton, South Jacqueline",Hourly Rate,Higher,"Painting, Electrical, Maintenance",3.4
27127,"Franklin, Carson and Whitney",North Alexis,Subscription,Competitive,"Renovation, Maintenance, Electrical, HVAC",4.3
27128,"Burch, Fernandez and Alvarez",East Anna,Subscription,Higher,"Painting, Maintenance, Cleaning",4.4
27129,Patterson Group,"Hollowaybury, Mariahborough, Harrisshire",Flat Rate,Higher,"Renovation, Electrical, Painting, HVAC",4.8
27130,"Wise, Sutton and Ruiz",Port Jeremyborough,Hourly Rate,Lower,"Painting, Renovation, Cleaning, Electrical, HVAC",3.7
27131,Reese-Johnson,North Matthewland,Hourly Rate,Higher,"Electrical, Cleaning, Painting, Roofing",3.9
27132,Harris Group,"West Walter, Jonesfurt, West Jamesfort",Flat Rate,Higher,"Plumbing, Roofing, Electrical, Renovation",4.2
27133,Graham Inc,"Port Justin, Lake Rachel, Port Sheila",Flat Rate,Lower,"Plumbing, Roofing, Electrical, HVAC, Renovation",4.2
27134,"Farmer, Lamb and Kim","Natalietown, New Ashleystad, Richardsonshire",Project-based,Competitive,"Plumbing, Painting, HVAC",3.3
27135,"Blake, Garcia and Dominguez",Gainesmouth,Hourly Rate,Competitive,"Renovation, Electrical, Painting, HVAC, Plumbing",3.1
27136,"Simpson, York and Brewer",North Loriview,Flat Rate,Competitive,Cleaning,3.9
27137,Ibarra-Allen,Smithside,Flat Rate,Lower,Cleaning,3.1
27138,Wood-Wilson,Coreyville,Project-based,Higher,Renovation,4.2
27139,Brandt-Hubbard,"West Rebeccamouth, Lake Brandon, Mistyborough",Subscription,Higher,"Electrical, HVAC, Maintenance, Painting",3.6
27140,Watkins Inc,"Hunterville, Ericmouth, Port Andrew",Subscription,Competitive,Electrical,3.7
27141,Phillips-Bryant,"Gibsonport, West Nicole, Maxwellfurt",Project-based,Higher,"Maintenance, Cleaning, Painting, HVAC, Roofing",4.1
27142,Adams and Sons,"New Jessicashire, Johnsonside, East Brandi",Flat Rate,Lower,"Electrical, Renovation, Roofing, Painting",4.9
27143,"White, Smith and Hernandez","Lake Faithbury, Gordonton, Williamstad",Subscription,Lower,"Maintenance, Roofing, HVAC, Electrical, Plumbing",3.0
27144,Rogers PLC,"Mccartychester, East Michelle",Flat Rate,Lower,Cleaning,4.7
27145,Lewis Group,"North Christopher, Port Theresa",Project-based,Competitive,"Electrical, Cleaning, Roofing, Painting, Renovation",3.3
27146,Cardenas Ltd,South Andre,Project-based,Higher,"Painting, Renovation, Electrical, Roofing, HVAC",3.8
27147,Martinez-Sims,Jeffreyside,Hourly Rate,Competitive,"Plumbing, Renovation, Painting, Cleaning, Electrical",3.2
27148,"Wright, Patel and Espinoza",Mcphersonborough,Subscription,Competitive,HVAC,4.1
27149,Schneider Group,"Jonesberg, East Karenmouth, Martinezberg",Project-based,Higher,"Plumbing, Painting, Electrical, Cleaning, Renovation",4.4
27150,Wheeler-Barnett,"Mariahchester, Davidtown",Hourly Rate,Competitive,"Renovation, Roofing, Painting, Electrical, Plumbing",4.6
27151,Taylor PLC,"Port Lauriestad, Hullmouth, Shanefort",Project-based,Competitive,"HVAC, Plumbing",4.4
27152,"Simmons, Gregory and Vasquez","West Jennifer, Port Juanville",Subscription,Higher,"Cleaning, HVAC, Electrical, Plumbing",4.9
27153,Vasquez and Sons,Martinezport,Flat Rate,Higher,"Maintenance, Roofing, Cleaning, HVAC",4.4
27154,"Mcfarland, Wyatt and Grant",Port Josephmouth,Subscription,Higher,"Electrical, Plumbing, Painting",4.7
27155,"Nelson, Thomas and Lee","Smallside, Port Cindy, Jonestown",Flat Rate,Competitive,"Cleaning, Plumbing",3.6
27156,Davis-Wood,"Danielstad, Lake Tonibury",Flat Rate,Competitive,"Plumbing, Painting, HVAC, Roofing",3.7
27157,Roberts LLC,"New Dannyport, East Tina",Subscription,Higher,"Painting, HVAC, Renovation, Roofing, Maintenance",4.4
27158,Cline-Ramirez,"New Heathermouth, West Sydney, West Anthonyshire",Hourly Rate,Competitive,"Roofing, Plumbing, Maintenance, Renovation, HVAC",4.3
27159,Davis-Singh,"West Rachel, Sheltonton",Subscription,Competitive,"Maintenance, Roofing, HVAC, Renovation",4.6
27160,Wall Inc,"Robinsonhaven, Vickiehaven, Milesborough",Flat Rate,Competitive,"HVAC, Electrical, Plumbing, Roofing",3.9
27161,Wolf-Ortega,"Melissashire, Brucestad",Subscription,Lower,"Painting, Roofing, Electrical, HVAC",3.8
27162,Sanchez-Taylor,"South Stephanietown, Lake Megan, New Sara",Hourly Rate,Lower,"Cleaning, Roofing, Maintenance, Plumbing",4.1
27163,Copeland-Obrien,Martinezland,Hourly Rate,Competitive,Maintenance,3.3
27164,Jimenez Ltd,"West Alexanderport, Richardsonmouth, Courtneystad",Project-based,Higher,"Renovation, Plumbing, Maintenance",4.1
27165,Ray-Hunt,Port Dylanmouth,Flat Rate,Competitive,"Renovation, Electrical",4.9
27166,"Harris, Johnston and Martinez","Kylemouth, North Joshua, Lake Aaronberg",Flat Rate,Higher,Roofing,4.7
27167,Bowman-Washington,"Isaacchester, New Cynthia",Hourly Rate,Competitive,"Plumbing, Maintenance, Renovation, Roofing",4.8
27168,Murphy PLC,Jamesside,Flat Rate,Lower,"Painting, Renovation, Cleaning, Electrical, Roofing",4.2
27169,Moore PLC,Cathybury,Project-based,Lower,"Painting, Roofing, Maintenance",4.8
27170,"Ayala, Proctor and Marquez",Lake Erikhaven,Flat Rate,Competitive,Cleaning,4.4
27171,Arnold Group,"East Paul, Adamville",Subscription,Higher,Electrical,3.3
27172,Woods LLC,"New Michaelside, Salazarborough, Port Kenneth",Project-based,Lower,Cleaning,4.1
27173,Harper and Sons,"Weisston, North Robin",Flat Rate,Competitive,"Electrical, HVAC, Cleaning",3.1
27174,Mcgrath Ltd,New Donna,Flat Rate,Lower,Maintenance,3.8
27175,Mccarthy and Sons,Hodgebury,Flat Rate,Lower,Renovation,3.2
27176,Stafford and Sons,West James,Subscription,Lower,"Renovation, Roofing, Electrical",3.7
27177,Davis and Sons,"Hendricksberg, South Andrew, Smithtown",Flat Rate,Competitive,"Maintenance, Electrical, Cleaning, Painting",4.5
27178,"Aguilar, Ramirez and Valencia","New Joshua, North Traci",Flat Rate,Lower,"Renovation, Maintenance, Painting",4.3
27179,Burton Inc,"Katherineshire, East Denisemouth",Subscription,Lower,"Roofing, Painting, Maintenance, Renovation",4.0
27180,Robertson-Frederick,"New Joshua, East Kristenland, East Seanhaven",Hourly Rate,Higher,Cleaning,4.4
27181,Ford LLC,Katieborough,Subscription,Competitive,"Renovation, Painting, HVAC, Roofing, Plumbing",3.7
27182,Lee-Mercer,"Port Jamesside, Port Nicholasstad",Hourly Rate,Competitive,"Electrical, Plumbing, Cleaning, Renovation",4.6
27183,"Wilson, Barrett and Fowler",East Cherylbury,Hourly Rate,Competitive,"Plumbing, Electrical, Cleaning, Painting",4.4
27184,Klein and Sons,"South Daniel, Strongbury",Project-based,Competitive,"Painting, Roofing, HVAC",4.0
27185,Quinn-Guzman,Port Sarahville,Subscription,Competitive,"Cleaning, HVAC, Electrical",3.2
27186,Williams Group,"Zoeberg, Sandrabury",Hourly Rate,Lower,Maintenance,3.4
27187,Hammond LLC,Lake Howard,Project-based,Higher,"Renovation, HVAC, Roofing, Maintenance",3.4
27188,Mendoza Ltd,"Port Justin, East Melodyside, Port Kristen",Subscription,Competitive,Renovation,4.8
27189,Perez-Taylor,Smithburgh,Flat Rate,Lower,"Renovation, Painting, Cleaning, Roofing",4.0
27190,Chapman LLC,"South Patricia, Port Deanside, East Jeffrey",Subscription,Higher,"Cleaning, Maintenance, Electrical, Painting",4.9
27191,Williams PLC,"New Patrick, Markmouth",Hourly Rate,Higher,"Roofing, Painting, Electrical, Plumbing",4.2
27192,Peterson-Robinson,"Housetown, North Melissafurt, Gabriellaville",Subscription,Lower,"Renovation, Plumbing, Electrical",3.5
27193,"Brown, Wilson and Goodman",Alexandermouth,Subscription,Competitive,"Roofing, Renovation",4.1
27194,Aguirre-Hamilton,East Stephanie,Project-based,Higher,Maintenance,3.1
27195,"Scott, Hall and Willis","Nguyenfurt, West Pamela, North Justinfurt",Flat Rate,Lower,"Cleaning, Plumbing, Maintenance",3.8
27196,Thomas-Burke,East Martha,Hourly Rate,Higher,"Electrical, Cleaning",3.0
27197,"Mccall, Mullins and Wallace",Lauraport,Project-based,Competitive,Electrical,4.8
27198,Davis and Sons,"Leefurt, Rangelland",Flat Rate,Higher,"Painting, HVAC, Maintenance, Plumbing",3.2
27199,Lang Group,"Rachelbury, Amandaville, West Jessehaven",Hourly Rate,Higher,"Cleaning, Plumbing",3.5
27200,Browning PLC,South Glennstad,Flat Rate,Competitive,HVAC,3.2
27201,Yoder-Gardner,Lake Benjaminhaven,Project-based,Lower,Plumbing,3.9
27202,"Ibarra, Jones and Miller","Patriciaside, Port Jermaine",Flat Rate,Higher,"Maintenance, Plumbing, Renovation",3.2
27203,Mitchell Ltd,Williamburgh,Flat Rate,Competitive,"Painting, Cleaning",3.2
27204,Allen-Mccormick,"Brownstad, Simsshire",Flat Rate,Lower,"Electrical, Renovation, HVAC, Maintenance, Roofing",4.7
27205,Ellis PLC,East John,Flat Rate,Lower,"Plumbing, Painting",3.3
27206,Johnson Inc,"Lake Heatherville, East Michaelmouth, Jefferyton",Hourly Rate,Competitive,"Plumbing, Roofing, Electrical, Maintenance",3.5
27207,"Wood, Peck and Clark",Cherylton,Subscription,Competitive,"Maintenance, HVAC, Plumbing, Cleaning",4.0
27208,Savage-Fuentes,"Jamesport, Pittsville",Hourly Rate,Competitive,"Plumbing, Maintenance, HVAC, Electrical",3.7
27209,Bailey-Parker,"Lisamouth, Sanchezton, Fisherport",Hourly Rate,Lower,"Cleaning, Renovation, Electrical",5.0
27210,Lowery-Baker,"Port Jacobmouth, Lake Kathrynhaven",Flat Rate,Higher,"Painting, Roofing, Cleaning, Renovation",4.6
27211,Everett-Hawkins,"Morrisbury, Powellland",Subscription,Lower,"Renovation, Maintenance, Plumbing",3.9
27212,Hicks-Peters,Guyfort,Hourly Rate,Higher,"Plumbing, Cleaning, Renovation, Electrical, Roofing",4.3
27213,"Boyd, Maddox and Walter","West Jonathan, Valeriebury",Hourly Rate,Competitive,"Plumbing, Electrical, HVAC, Cleaning",3.7
27214,"Barber, Spencer and Mcdonald","New Blake, Alvarezport, West Mark",Subscription,Competitive,"Renovation, Cleaning, Roofing, Electrical",4.0
27215,Haynes LLC,"Carrillofort, Stevenport",Subscription,Competitive,"Roofing, Plumbing, Renovation, Cleaning",3.9
27216,Miller-Peterson,"West Whitney, Jamesshire",Flat Rate,Competitive,Painting,4.7
27217,Lowery-Santos,"South James, Danielsport, New Tyler",Project-based,Competitive,"Painting, Renovation, Electrical",4.4
27218,Clayton LLC,"Lake Paulfort, Latashafort, Valenciamouth",Flat Rate,Lower,"Maintenance, Roofing",4.0
27219,Maddox-Conner,Davidsonborough,Project-based,Higher,"Painting, Renovation, Cleaning",4.0
27220,Garcia Inc,"Port Rhondaville, Port Joe",Subscription,Competitive,"Maintenance, Cleaning, Roofing",3.5
27221,Cox-Johnson,North Johnathanmouth,Project-based,Higher,Plumbing,3.6
27222,"Dominguez, Miller and Gordon",Jenniferhaven,Project-based,Lower,"Cleaning, Maintenance",3.8
27223,Stanton-Mullen,New Douglas,Subscription,Competitive,Painting,3.9
27224,Hamilton PLC,North Amandastad,Subscription,Competitive,"Cleaning, Plumbing, Maintenance",4.7
27225,Powell-Hughes,Hancocktown,Flat Rate,Lower,HVAC,4.2
27226,Turner-Lucas,"Matthewbury, Lake Davidhaven, Port Matthewborough",Project-based,Higher,"Plumbing, HVAC, Renovation",4.3
27227,Collins Inc,"Cristinaview, Collinsburgh, South Bobby",Subscription,Competitive,Electrical,4.0
27228,"Molina, Marsh and Matthews","Westview, New Jasmineside",Flat Rate,Lower,"Maintenance, HVAC, Cleaning, Renovation",3.2
27229,Conley Group,Lake Jasmineshire,Project-based,Higher,"Renovation, Roofing, HVAC, Painting, Cleaning",3.1
27230,Berger Group,South Jamesburgh,Hourly Rate,Higher,HVAC,3.2
27231,Black-Whitehead,South Jeremyfurt,Project-based,Lower,"Maintenance, HVAC, Painting, Electrical, Roofing",3.8
27232,"Hendrix, Green and Garcia","East Courtney, Freemanport, New Craigshire",Hourly Rate,Higher,"Maintenance, Cleaning",3.7
27233,Bell-Vargas,"Christineshire, Acostaburgh, Kennedymouth",Project-based,Competitive,"Renovation, Electrical, Plumbing, Painting",4.1
27234,"Kidd, Kennedy and Mays","New Joshuafurt, Port Anthony",Hourly Rate,Higher,"Painting, HVAC, Renovation, Plumbing, Roofing",3.5
27235,Contreras Inc,"Brittanybury, West Alicia, North Stephenbury",Flat Rate,Lower,"Roofing, Cleaning",3.9
27236,Clark Group,Faulknerville,Hourly Rate,Higher,"Painting, Electrical, Cleaning, Maintenance, HVAC",4.7
27237,Lee-Martinez,"Jasminestad, North Natalieside",Project-based,Lower,"Cleaning, Renovation, Roofing, HVAC",3.0
27238,Harvey and Sons,"Christopherville, Port Robert",Flat Rate,Competitive,"Painting, Electrical, Cleaning, HVAC, Maintenance",4.2
27239,Davis-Reyes,Lake Andrew,Hourly Rate,Higher,"Painting, Electrical, Plumbing",4.9
27240,West Group,"Patrickview, East Allenshire, Hartmanview",Flat Rate,Competitive,Roofing,4.8
27241,"Jennings, Munoz and Pena","Jamesside, Amberhaven, Jenniferberg",Project-based,Lower,Maintenance,4.3
27242,Mason-Bowen,"South Tracyfurt, Lake Michael",Project-based,Competitive,"Painting, Electrical, Roofing",4.6
27243,Saunders-Figueroa,"Parkerport, Lake Matthew",Project-based,Competitive,"Renovation, Painting, Roofing, Cleaning",4.3
27244,Espinoza LLC,Millerton,Flat Rate,Higher,"Painting, Renovation, HVAC",4.2
27245,Harris-Jenkins,West Stevenport,Subscription,Higher,"Roofing, HVAC, Maintenance, Renovation",3.8
27246,Fuentes LLC,"New Stephanie, Lake Ruth, Bryantshire",Subscription,Competitive,"Renovation, Cleaning, Maintenance, Electrical, Plumbing",4.4
27247,Drake Inc,"Castillostad, New Alexishaven, South Rebecca",Hourly Rate,Competitive,HVAC,3.7
27248,"Merritt, Rocha and Fox","Hughesside, Johnfort",Subscription,Competitive,"Maintenance, Electrical, Plumbing",4.3
27249,Taylor-Wright,"East Shawnside, East Raymondville, West Nicole",Flat Rate,Competitive,"Roofing, Electrical",4.9
27250,Mata-Huerta,"North Nicholaston, South Wanda",Project-based,Competitive,"HVAC, Maintenance, Plumbing",4.4
27251,Harmon LLC,"New Heatherfurt, North Kimberlyport",Flat Rate,Higher,"Maintenance, Electrical",4.6
27252,White LLC,"Clarkfort, Ronaldside, North Daniel",Subscription,Higher,"Painting, Roofing, HVAC",3.8
27253,Mann LLC,"Jasontown, Johnnystad, Port Andrea",Project-based,Lower,"Cleaning, Maintenance, HVAC",3.4
27254,"Wilson, Hutchinson and Campbell",North Katelynside,Subscription,Higher,"Cleaning, HVAC, Maintenance, Roofing",3.9
27255,Jones LLC,"Jimmytown, Port James, Richardshire",Subscription,Higher,"Plumbing, Renovation, Painting, HVAC",4.6
27256,Smith Inc,Virginialand,Flat Rate,Competitive,"Painting, Renovation, Electrical, Cleaning, Plumbing",4.0
27257,Horton PLC,"Christopherville, West Catherine",Hourly Rate,Higher,"Maintenance, Renovation, Cleaning",4.7
27258,Mckinney-Bennett,"Robertfort, Davidchester",Flat Rate,Competitive,Roofing,4.1
27259,"Duarte, Martin and Roberts","Port Cynthiahaven, New Kellyberg",Hourly Rate,Competitive,"Maintenance, Roofing, Electrical",4.7
27260,"Kirk, Proctor and Walker","Lake Christopher, Foleyview",Subscription,Higher,"Cleaning, Plumbing",4.0
27261,"Garcia, Lee and Hawkins",West William,Subscription,Higher,"Renovation, Painting, HVAC",3.6
27262,Mitchell-White,"New Matthewstad, Vargasfort, West Kristen",Flat Rate,Lower,Cleaning,3.9
27263,Navarro LLC,"Wallerhaven, Tinaton, Madelineville",Subscription,Lower,"Renovation, Painting",3.8
27264,Hogan-Graham,"Carolynmouth, West Larryfort",Flat Rate,Competitive,"Maintenance, Cleaning, Plumbing",3.2
27265,Leonard-Mckenzie,East Kimberlyfurt,Subscription,Higher,"Electrical, HVAC, Painting, Plumbing",3.9
27266,Brooks-Pugh,"Jennyland, Wilsontown",Subscription,Competitive,HVAC,3.3
27267,Williams Group,Lake Daniellefort,Subscription,Lower,HVAC,3.1
27268,Morrow Ltd,"Barrettchester, North Jeffreyland, South Carolineshire",Subscription,Higher,"Maintenance, Electrical, Renovation",4.0
27269,Boyd Inc,"Patriciaport, Port Sharon, Simmonshaven",Hourly Rate,Higher,"Electrical, Renovation",4.1
27270,"Cisneros, Long and Green",Port Matthewfurt,Flat Rate,Lower,"Roofing, Painting, Plumbing",4.2
27271,Rich Ltd,East Jeremy,Project-based,Higher,"Maintenance, Painting",3.6
27272,"Elliott, Jones and Martin",Hansenfort,Hourly Rate,Lower,"Maintenance, Electrical, Roofing",4.4
27273,Anderson Inc,Lake Heathermouth,Flat Rate,Lower,"Electrical, Plumbing",4.8
27274,Young LLC,Richardsontown,Flat Rate,Lower,"Electrical, Maintenance, Cleaning",4.0
27275,"Humphrey, Kelly and Newman",Taraborough,Flat Rate,Competitive,"Electrical, Roofing, HVAC, Plumbing, Painting",4.8
27276,Estes LLC,"South Charles, East Tylerside",Hourly Rate,Competitive,Cleaning,3.3
27277,"Martinez, Green and Thompson","North Sophiafurt, Wisebury, Lake Jamieberg",Flat Rate,Competitive,"HVAC, Electrical",5.0
27278,Griffin PLC,Williammouth,Project-based,Competitive,"Painting, Electrical, Roofing, Cleaning",3.4
27279,Turner Inc,"North Danielleville, South Frederick",Subscription,Lower,"HVAC, Painting, Electrical, Plumbing",4.7
27280,Smith PLC,"Andrewside, West Amanda, Ballberg",Project-based,Higher,Maintenance,4.3
27281,Ruiz Inc,Gonzalezburgh,Subscription,Competitive,"Roofing, Renovation",3.5
27282,Curry-Murray,"East Katrinatown, East Sarahville",Hourly Rate,Lower,"Cleaning, Electrical, Plumbing, Painting, Roofing",3.2
27283,"Miller, Rosario and Perry",Bauermouth,Flat Rate,Lower,"Painting, Cleaning, Roofing, Renovation, Plumbing",4.0
27284,"Long, Bryant and Good","Port Michaelfort, Princeville, Port Christyshire",Hourly Rate,Lower,"Painting, HVAC, Electrical, Renovation",5.0
27285,"Martin, Gibson and Thompson","West Kristin, Robertshire",Project-based,Competitive,Electrical,3.4
27286,Allen-French,"West Felicia, Port Alyssa, North Andrewtown",Subscription,Competitive,"HVAC, Cleaning, Renovation, Electrical, Painting",4.5
27287,Reyes-Valencia,"Maryberg, Bakerfort, Patriciatown",Project-based,Competitive,"Painting, HVAC, Electrical",4.5
27288,"Saunders, Wolfe and Smith","North James, North Michelleborough, New Maryview",Flat Rate,Lower,"HVAC, Maintenance, Painting, Roofing",3.4
27289,Shepard-Lopez,"New Brent, Brooksbury, New Stephanieport",Subscription,Higher,"Maintenance, HVAC, Renovation",3.6
27290,Elliott-Jones,"West Mandyside, Duncanville, South Scott",Hourly Rate,Higher,Plumbing,4.8
27291,Foster PLC,"Valdezton, Erinside, South David",Subscription,Lower,"Painting, Cleaning",4.2
27292,Gardner-Hansen,"Charleneport, New Ericville",Hourly Rate,Competitive,Electrical,4.6
27293,"Warner, Strickland and Wiggins",West Joshuahaven,Flat Rate,Competitive,"Electrical, Painting",3.9
27294,"Livingston, Hall and Garcia",West Gabriellestad,Flat Rate,Competitive,"Roofing, Electrical, HVAC, Renovation",3.5
27295,"Thompson, Decker and Glenn","South Tiffanyport, Franklinborough, Hamiltonmouth",Subscription,Lower,"Cleaning, Roofing, Plumbing, HVAC, Renovation",4.6
27296,Santana-Rasmussen,Paynetown,Hourly Rate,Competitive,Renovation,4.7
27297,"Jones, Jenkins and Rodriguez","West Ryan, Port Michael",Flat Rate,Higher,"Maintenance, Renovation, Plumbing, HVAC",3.4
27298,"Acosta, Gibson and Howard","Gailview, Fordbury",Subscription,Lower,"Plumbing, HVAC, Painting",5.0
27299,"Combs, Richards and Solis","West Carolynbury, East Susanside",Flat Rate,Higher,"Electrical, Renovation, Cleaning, Painting",3.2
27300,Davidson Group,Brownfort,Subscription,Competitive,"HVAC, Cleaning, Renovation",3.8
27301,Mckay Group,"Beasleyberg, South Stephen",Subscription,Lower,"Roofing, Plumbing, HVAC",4.6
27302,"Elliott, Mcneil and Stein",South Jenniferfurt,Subscription,Higher,"Electrical, Renovation, Maintenance",4.0
27303,"Estrada, Pitts and Reyes",Kayleeton,Subscription,Competitive,Plumbing,3.3
27304,Walters-Johnson,Martinezshire,Hourly Rate,Competitive,"Electrical, Renovation, Maintenance, Roofing, HVAC",4.8
27305,"Malone, Pena and Scott","North Alexandriastad, Brianborough",Project-based,Higher,"Roofing, Painting, Maintenance",4.4
27306,"Willis, Sanford and Rodriguez","New Kimberly, Jamesview",Subscription,Higher,"Painting, Cleaning, HVAC, Plumbing",3.1
27307,Owens-Burgess,"Port Sherry, Lake Mariafort",Project-based,Higher,"Renovation, Plumbing, Maintenance, Roofing, HVAC",4.4
27308,Ellis-Patel,Briannahaven,Subscription,Higher,"Renovation, Roofing, Painting",4.0
27309,Forbes Group,"Jeffreyside, Port Travis, Cisnerosville",Flat Rate,Lower,Roofing,3.5
27310,Fox-Moon,"Lake Charles, Nathanielburgh",Hourly Rate,Higher,"Painting, Cleaning, Roofing, Maintenance",4.8
27311,Morrow-Cruz,"West Kimberlyshire, West Eric, Brandonbury",Subscription,Competitive,"HVAC, Cleaning, Renovation, Painting, Maintenance",3.9
27312,Riggs-Whitehead,"Port Samantha, Brendafurt, Johnstad",Project-based,Lower,"Roofing, Electrical",3.8
27313,Barrett Group,"New Kellymouth, Bakerstad, Cherylview",Hourly Rate,Competitive,"Electrical, Painting, Plumbing, Roofing",3.2
27314,Miller-Peters,"Bethtown, Grosston",Flat Rate,Higher,Electrical,3.9
27315,"Gomez, Walters and Beck","West Aaron, North Elijah",Subscription,Higher,"Electrical, HVAC, Maintenance, Plumbing",4.5
27316,Yoder and Sons,North Tammy,Hourly Rate,Lower,"Electrical, HVAC",4.6
27317,Rogers LLC,"East Tammy, New Eddie, Joshuafurt",Flat Rate,Competitive,"Electrical, Renovation, Roofing, HVAC, Plumbing",3.0
27318,Cook LLC,"Port Robintown, Paulburgh",Subscription,Higher,Renovation,4.7
27319,"Meyer, Rivera and Wise","New Kristine, Port William",Subscription,Lower,"Painting, Renovation",3.3
27320,Rogers LLC,New Meghanmouth,Flat Rate,Competitive,"Painting, Electrical, Maintenance",3.2
27321,Clark-Flores,"Smithmouth, Davisville",Project-based,Higher,HVAC,4.6
27322,Moreno and Sons,West Tammybury,Hourly Rate,Higher,"Renovation, Maintenance, Painting",3.2
27323,Williamson Ltd,Cohenberg,Flat Rate,Lower,"HVAC, Painting, Roofing",3.1
27324,"Strickland, Long and Young","Anthonyport, Port Kristinmouth, New Daniel",Flat Rate,Lower,Maintenance,3.7
27325,Quinn-Williams,Andrewshire,Subscription,Higher,"Roofing, Renovation, Plumbing, Electrical",4.0
27326,"Ball, Bowers and Hanna","Schultzmouth, Mooreside, Elizabethland",Hourly Rate,Lower,"Cleaning, Electrical, Maintenance, Painting, Plumbing",4.8
27327,Schultz Inc,"Salazarville, Port Gregory",Subscription,Lower,"Painting, HVAC, Roofing",4.3
27328,"Brown, Perry and Pena",Port Ronaldburgh,Project-based,Competitive,"Renovation, Electrical, Plumbing",4.6
27329,"Perez, Page and Young","West Laura, Dominiqueside",Project-based,Competitive,"Maintenance, HVAC, Electrical, Roofing, Painting",3.2
27330,French LLC,East Randall,Hourly Rate,Higher,Electrical,3.4
27331,"Burton, Wilson and Lucas","West Angelahaven, New Eric, Lake Deanna",Flat Rate,Competitive,"Roofing, Renovation, Maintenance, Electrical",4.2
27332,"Torres, Johnson and Park","Lisaview, New Kiarachester, Douglasfort",Flat Rate,Higher,"Maintenance, Plumbing, Cleaning, Roofing, HVAC",4.5
27333,Miller LLC,"Millerberg, West Joseph, West Joseland",Flat Rate,Lower,"Electrical, Plumbing",3.7
27334,Espinoza and Sons,"West Frank, Murphyland",Flat Rate,Higher,"Cleaning, HVAC",4.6
27335,Hatfield and Sons,"Jillfurt, South Sandra, Robbinsshire",Project-based,Higher,Plumbing,3.6
27336,Palmer-Rivas,Barnetthaven,Subscription,Lower,Maintenance,3.0
27337,"Heath, Campos and Andrade","East Jon, Timothyfort",Flat Rate,Higher,"Cleaning, Renovation, Painting",4.5
27338,Sullivan Group,Williamborough,Project-based,Lower,"Maintenance, Cleaning, HVAC, Renovation",3.9
27339,Price and Sons,"Taylorberg, Lindaberg, North Lisatown",Subscription,Competitive,"Renovation, Painting",4.4
27340,"Robinson, Hill and Gentry","Wayneberg, Gavinview, Victorhaven",Hourly Rate,Higher,"HVAC, Cleaning, Electrical, Plumbing",4.4
27341,Lawson-Thompson,New Kimberly,Subscription,Lower,"HVAC, Electrical, Painting",4.8
27342,Mccoy Group,"South Rachel, Andersonport",Project-based,Lower,"Renovation, Roofing, HVAC, Maintenance",4.9
27343,Berry PLC,"Reginaside, South Jacob",Project-based,Lower,"Cleaning, Electrical, HVAC, Maintenance",3.6
27344,Ingram-Hanson,"Port Mollyville, Bellmouth, Port Terrifurt",Flat Rate,Lower,"Cleaning, Roofing, Painting",3.3
27345,"Molina, Hogan and Rodriguez",Dawnbury,Subscription,Higher,"Renovation, Maintenance, Plumbing, Painting",4.9
27346,"Jimenez, Francis and Valdez","North Dawn, Alexishaven, Beanport",Project-based,Higher,"Maintenance, Plumbing, HVAC, Electrical",3.2
27347,"Lee, Santos and Johnson","South Tonymouth, Lambside, Vaughanberg",Project-based,Competitive,Plumbing,4.9
27348,Hanson-Fitzgerald,"East Cameronport, Anthonymouth",Flat Rate,Higher,"Plumbing, Painting, Renovation, Cleaning",4.6
27349,Mccarthy-Bruce,"Paulfort, South Frank",Project-based,Lower,Electrical,4.4
27350,Simmons-Garner,Susanfort,Subscription,Higher,"Renovation, HVAC, Painting",4.1
27351,"Brown, Young and Davis","Jamieton, Christinebury",Project-based,Competitive,"Painting, Electrical",3.4
27352,Kennedy-Brooks,Josephborough,Subscription,Higher,Painting,4.9
27353,Carey PLC,"Lake Matthew, West Shelley",Hourly Rate,Higher,"HVAC, Roofing",4.0
27354,Petty Ltd,Port Jayport,Hourly Rate,Lower,"Maintenance, Renovation",4.5
27355,Schroeder-Hodges,"North Kristin, New Kayla, Kayleestad",Flat Rate,Lower,"Plumbing, HVAC, Electrical, Maintenance, Renovation",5.0
27356,Myers-Harris,"Port Annamouth, Teresachester",Hourly Rate,Lower,Maintenance,3.1
27357,Wilson LLC,North Jonathanville,Flat Rate,Competitive,Maintenance,4.2
27358,"Ramos, Davis and Wilson","West Jenniferview, Kennethhaven",Hourly Rate,Competitive,Roofing,4.3
27359,Bolton-Jackson,"Lake Nathan, Destinymouth, Lanestad",Flat Rate,Competitive,"Maintenance, HVAC",3.6
27360,"Allison, Guerrero and Vasquez","Brianton, Lisaport",Subscription,Lower,"Maintenance, Roofing",4.5
27361,Black-Martinez,Lake Carolynmouth,Hourly Rate,Lower,"Renovation, Electrical, Maintenance, Cleaning, HVAC",3.8
27362,Jackson-Graves,North Betty,Hourly Rate,Competitive,Cleaning,3.2
27363,"Deleon, Williams and Crawford","New John, New Curtiston, New Ashley",Hourly Rate,Competitive,"Renovation, Plumbing, Maintenance, Roofing",3.3
