Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards
27108,"7695 Cassandra Walks Apt. 179
South Christianberg, MO 66952",5914,43,Residential,3,Good,Steel,Extinguishers,"Ramps, Elevator, Wide Doorways",Argue finish.,Warehouse,Occupied,Asbestos
27109,"9439 Brittany Ford Suite 272
South Sarah, TN 35715",1018,99,Residential,2,Poor,Brick,"Alarms, Sprinklers","Ramps, Wide Doorways, None, Elevator",None,Residential,Occupied,None
27110,"10094 Jonathan Drive Suite 090
Port Tinabury, ID 47997",4910,5,Commercial,8,Fair,Concrete,"Extinguishers, Alarms","Elevator, Ramps, None",Direction seat.,Retail,Vacant,None
27111,"009 Felicia Ports
Harmonton, WY 88774",503,49,Industrial,8,Fair,Brick,Extinguishers,Wide Doorways,Summer just.,Retail,Occupied,None
27112,"9005 Kathryn Bypass
South Leahfurt, UT 35557",4593,48,Industrial,9,Poor,Steel,"Alarms, Sprinklers, Extinguishers","Wide Doorways, Ramps",None,Warehouse,Occupied,None
27113,"63478 Sarah Fort Apt. 540
North Jeffrey, TN 16425",6764,41,Commercial,5,Fair,Steel,"Extinguishers, Alarms",Elevator,Probably information marriage.,Retail,Vacant,None
27114,"575 Robert Land
Amyborough, MO 86223",609,65,Commercial,5,Fair,Wood,"Extinguishers, Alarms, Sprinklers","Ramps, Elevator",Happy reality ask.,Warehouse,Vacant,None
27115,"59773 Kelly Mountains Suite 077
Aprilberg, IA 65119",7506,100,Residential,6,Poor,Steel,Sprinklers,"None, Wide Doorways, Elevator, Ramps",Raise book human.,Warehouse,Occupied,None
27116,"98942 Bowen Flat
Lake Lisa, DE 51567",6581,86,Industrial,8,Fair,Steel,Sprinklers,Ramps,None,Retail,Vacant,Mold
27117,"865 Farmer Brooks Suite 454
South Jeffreyfort, CA 40040",5899,12,Industrial,10,Good,Steel,Sprinklers,"Wide Doorways, Ramps, None, Elevator",Little plan quickly.,Residential,Occupied,None
27118,"46717 Harris Groves
Brownstad, VA 81178",842,1,Commercial,4,Fair,Concrete,"Extinguishers, Alarms","Elevator, Ramps, Wide Doorways, None",Real foreign.,Warehouse,Occupied,None
27119,"4746 Zachary Coves Suite 109
Port David, IN 81115",2005,2,Residential,1,Good,Brick,"Alarms, Extinguishers","None, Elevator, Wide Doorways, Ramps",None,Retail,Occupied,None
27120,"482 William Road Apt. 770
Thompsonbury, OH 20244",7902,59,Residential,1,Excellent,Steel,"Sprinklers, Extinguishers, Alarms","None, Wide Doorways, Elevator, Ramps",Reveal seem.,Warehouse,Vacant,None
27121,"483 Fowler Mountain
Garybury, OR 35639",2309,25,Residential,5,Fair,Concrete,Sprinklers,Wide Doorways,None,Warehouse,Vacant,None
27122,"76330 Matthew Vista Apt. 819
Davisbury, VA 87426",8686,44,Commercial,1,Excellent,Wood,"Alarms, Extinguishers, Sprinklers",Elevator,Director.,Residential,Occupied,None
27123,"PSC 5528, Box 1508
APO AE 76805",8906,72,Industrial,1,Excellent,Steel,"Alarms, Extinguishers, Sprinklers","Elevator, Ramps, Wide Doorways, None",Whole partner effect.,Warehouse,Vacant,None
27124,"PSC 7114, Box 2372
APO AE 44773",2122,37,Residential,10,Good,Steel,"Alarms, Extinguishers","Ramps, Wide Doorways, Elevator",None,Warehouse,Vacant,Mold
27125,"855 Avery Corners
Abigailstad, CA 81289",3881,84,Residential,5,Poor,Brick,Extinguishers,"None, Ramps, Wide Doorways",None,Warehouse,Occupied,None
27126,"496 Adam Place
Danielshire, MO 58501",5405,92,Industrial,3,Good,Concrete,"Extinguishers, Alarms","Wide Doorways, None, Ramps",Drop bring pull son.,Residential,Occupied,None
27127,"182 Frances Corner Suite 658
Stevenberg, DE 96234",2678,84,Residential,4,Fair,Brick,Sprinklers,Wide Doorways,None,Office,Occupied,None
27128,"USNV Coleman
FPO AP 07942",7714,66,Residential,4,Fair,Brick,"Alarms, Extinguishers","Ramps, Elevator, Wide Doorways",Middle industry reason perhaps.,Retail,Vacant,Mold
27129,"8158 Henry Rapid Suite 274
South Keithport, NJ 74026",4716,29,Residential,3,Good,Wood,"Sprinklers, Alarms",Elevator,If later.,Residential,Vacant,Mold
27130,"3655 Gomez Locks
Steventon, MI 54097",8541,26,Residential,8,Good,Concrete,"Alarms, Extinguishers","Elevator, None, Ramps, Wide Doorways",None,Warehouse,Occupied,Mold
27131,"3969 Paul Forest
East Chase, MN 20902",9086,18,Industrial,5,Fair,Wood,"Sprinklers, Alarms, Extinguishers","Ramps, None, Elevator, Wide Doorways",From put product.,Warehouse,Vacant,None
27132,"0885 Jason Canyon Apt. 964
Gregoryland, TX 50292",5069,6,Industrial,5,Poor,Steel,"Alarms, Extinguishers, Sprinklers","None, Elevator, Wide Doorways, Ramps",Forget.,Office,Occupied,None
27133,"0352 Dakota Parks Suite 067
West James, MN 26568",9497,22,Commercial,2,Fair,Brick,"Alarms, Extinguishers","Ramps, Elevator, None, Wide Doorways",Age.,Residential,Vacant,None
27134,"16387 Shawn Branch Apt. 657
Ginastad, ND 01445",7942,27,Industrial,10,Fair,Brick,"Sprinklers, Extinguishers",None,Every mean prevent.,Retail,Vacant,Lead Paint
27135,"7522 Barry Motorway
South Troy, ND 18102",7948,48,Commercial,3,Good,Brick,"Extinguishers, Sprinklers, Alarms",Elevator,None,Warehouse,Vacant,Lead Paint
27136,"967 Cheryl Manor
Millsmouth, ND 13934",2792,96,Commercial,7,Fair,Steel,Alarms,"Wide Doorways, Elevator",None,Office,Vacant,Asbestos
27137,"23928 Nguyen Junction Suite 803
Port Johnton, LA 84735",4425,28,Commercial,3,Fair,Steel,"Alarms, Extinguishers",Wide Doorways,None,Residential,Occupied,None
27138,"2046 Stephen Mountains
Choitown, VA 43458",5225,42,Residential,2,Fair,Steel,"Alarms, Extinguishers",Elevator,None,Warehouse,Occupied,Mold
27139,"626 Munoz Mountains
North Dianechester, PA 83084",8802,71,Industrial,5,Good,Wood,"Sprinklers, Alarms, Extinguishers","Elevator, None, Ramps",None,Retail,Occupied,Lead Paint
27140,"07630 Andrea Fields
Andersonmouth, RI 47227",9203,55,Residential,3,Excellent,Brick,"Sprinklers, Alarms, Extinguishers",Elevator,Always apply.,Retail,Vacant,None
27141,"92358 Sanchez Valleys Apt. 979
East Jamesville, OR 28708",6940,36,Industrial,4,Excellent,Steel,"Alarms, Sprinklers",Ramps,Develop political.,Office,Occupied,Asbestos
27142,"7900 Kimberly Mount Suite 421
West Michaelbury, CA 76367",6553,92,Residential,2,Poor,Brick,Sprinklers,"None, Elevator, Ramps",Civil center cover.,Residential,Occupied,Mold
27143,"91261 Johnny Vista
Monicafurt, GA 34001",8685,11,Commercial,3,Excellent,Wood,"Alarms, Extinguishers","Ramps, None",None,Retail,Occupied,Mold
27144,"0695 Jones Mount Suite 092
South Sean, MS 54970",7246,81,Industrial,6,Good,Concrete,"Extinguishers, Sprinklers, Alarms","Wide Doorways, None, Elevator, Ramps",Bill leave wonder.,Residential,Vacant,None
27145,"845 James Fields Suite 472
Deniseburgh, AK 99294",2627,57,Industrial,3,Excellent,Wood,"Extinguishers, Sprinklers","None, Ramps, Elevator",None,Office,Occupied,Asbestos
27146,"4393 Adams Stream
Nicholsmouth, OH 41242",7688,48,Industrial,2,Good,Wood,Extinguishers,"Ramps, Elevator, None, Wide Doorways",Toward bad car.,Warehouse,Vacant,None
27147,"957 Roberts Parkway
Davidmouth, OR 10582",9887,40,Commercial,5,Fair,Wood,"Sprinklers, Extinguishers","Wide Doorways, Ramps",Call reality.,Retail,Vacant,None
27148,"5436 Katherine Divide
South Michael, IL 67722",5853,14,Residential,1,Poor,Brick,Alarms,"None, Ramps",Car by wait economic.,Office,Vacant,None
27149,"2623 Bell Bridge
Perezmouth, TN 85055",639,26,Industrial,3,Poor,Brick,"Alarms, Extinguishers","Wide Doorways, Ramps, Elevator",Claim anyone.,Office,Vacant,Mold
27150,"695 Ford Brook
Lake Colin, ID 96417",690,49,Commercial,4,Good,Brick,"Sprinklers, Extinguishers","Wide Doorways, Elevator, Ramps, None",None,Residential,Occupied,Asbestos
27151,"929 Lamb Lodge Suite 242
Lindaborough, NV 99781",6544,11,Industrial,9,Poor,Concrete,"Sprinklers, Alarms","Ramps, Elevator",Key bring hand.,Residential,Vacant,Mold
27152,"Unit 1095 Box 1425
DPO AA 03846",4209,92,Industrial,3,Poor,Concrete,"Alarms, Sprinklers","Wide Doorways, None, Elevator",Citizen father.,Residential,Occupied,Mold
27153,"1071 Dalton Cove
Port Katherineport, MS 04618",510,68,Industrial,3,Good,Wood,"Extinguishers, Alarms, Sprinklers","None, Elevator",Relationship story from.,Residential,Occupied,None
27154,"PSC 9963, Box 9983
APO AA 77391",6029,87,Commercial,4,Fair,Wood,"Sprinklers, Extinguishers, Alarms","Elevator, Wide Doorways, Ramps, None",None,Warehouse,Vacant,None
27155,"422 Mcbride Trail Suite 977
Amyside, IN 41089",7351,16,Commercial,3,Poor,Steel,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Ramps",Action week about.,Office,Vacant,Mold
27156,"988 Juan Vista Apt. 609
North Robert, MA 44003",2482,22,Industrial,5,Fair,Concrete,"Extinguishers, Sprinklers","Ramps, Elevator, None, Wide Doorways",None,Retail,Vacant,None
27157,"69847 Shannon Canyon Suite 066
North Tara, CA 68365",6913,89,Commercial,7,Good,Wood,"Extinguishers, Sprinklers, Alarms",Ramps,Get ready.,Residential,Occupied,None
27158,"2568 Hendricks Landing
West Corey, AZ 23778",7923,79,Commercial,4,Excellent,Wood,Extinguishers,"Elevator, Wide Doorways, Ramps",None,Residential,Occupied,Mold
27159,"9917 Anthony Prairie Suite 546
North Shane, KS 71503",5753,45,Industrial,1,Excellent,Steel,Sprinklers,"Ramps, Wide Doorways, None",None,Residential,Vacant,Lead Paint
27160,"USNS Morris
FPO AA 42042",6457,75,Residential,2,Poor,Concrete,"Extinguishers, Alarms, Sprinklers","Ramps, Wide Doorways, None, Elevator",None,Retail,Occupied,None
27161,"7776 Troy Crest
Bryanton, RI 64182",5866,41,Commercial,2,Excellent,Wood,"Extinguishers, Sprinklers, Alarms","Wide Doorways, None, Ramps",Project create government.,Retail,Occupied,Asbestos
27162,"45574 Bell Stream Apt. 611
Cartershire, MS 52184",2768,66,Commercial,10,Poor,Brick,Extinguishers,"Elevator, Ramps, None, Wide Doorways",Instead better make.,Office,Occupied,None
27163,"7272 William View Suite 009
South Todd, AZ 62255",9398,78,Commercial,10,Poor,Brick,"Sprinklers, Extinguishers","Elevator, None",Official state.,Office,Occupied,None
27164,"757 Marc Lakes
Lake Jamesland, CA 95659",7845,84,Industrial,3,Good,Steel,"Extinguishers, Sprinklers, Alarms","Elevator, None, Ramps, Wide Doorways",National level half.,Residential,Occupied,None
27165,"4818 John Prairie
Hullshire, NJ 76757",7200,24,Industrial,10,Good,Brick,"Alarms, Extinguishers","Ramps, None",None,Retail,Occupied,None
27166,"Unit 9624 Box 0099
DPO AA 34874",7084,99,Commercial,1,Excellent,Wood,"Extinguishers, Alarms, Sprinklers","Elevator, None",None,Residential,Vacant,Mold
27167,"8134 William Brook Suite 731
Port Leonardside, TN 76498",6273,22,Industrial,7,Fair,Steel,Extinguishers,"Ramps, None, Elevator, Wide Doorways",Government.,Office,Vacant,None
27168,"247 Franklin Squares Apt. 933
West Nancytown, FL 24747",9322,73,Industrial,4,Fair,Wood,"Alarms, Extinguishers","Ramps, Elevator, Wide Doorways",Newspaper work soldier.,Warehouse,Occupied,None
27169,"PSC 3051, Box 0995
APO AP 11489",2116,91,Commercial,7,Poor,Wood,"Sprinklers, Alarms, Extinguishers","Ramps, Elevator, Wide Doorways, None",None,Residential,Occupied,None
27170,"75224 Dana Mall Apt. 284
West Marco, AZ 07398",1822,93,Residential,6,Poor,Wood,Sprinklers,"Ramps, Wide Doorways",None,Retail,Occupied,Asbestos
27171,"6989 Debbie Fords
West Emilyport, NE 80406",5691,59,Residential,2,Poor,Steel,"Alarms, Extinguishers","Ramps, Wide Doorways, Elevator, None",None,Retail,Vacant,Mold
27172,"9688 Bryan Stravenue Suite 584
Morrismouth, AL 55309",1562,5,Residential,4,Excellent,Brick,"Sprinklers, Extinguishers, Alarms","None, Wide Doorways, Ramps, Elevator",None,Office,Occupied,None
27173,"55525 Jason Trail
West Deborah, SD 09861",5781,23,Residential,10,Fair,Wood,"Extinguishers, Sprinklers",Wide Doorways,On during.,Residential,Vacant,Lead Paint
27174,"67213 Franco Gateway Suite 152
Sullivanhaven, AL 67836",5156,98,Industrial,5,Excellent,Wood,Alarms,"Ramps, Wide Doorways, None",Production detail course.,Warehouse,Vacant,Asbestos
27175,"42814 Jenkins Lock
Williamsland, IL 32956",4097,25,Commercial,3,Fair,Wood,Alarms,"Wide Doorways, Ramps, None",Avoid color.,Warehouse,Vacant,Mold
27176,"USNV Gonzalez
FPO AE 57267",4898,59,Residential,5,Fair,Concrete,Alarms,Wide Doorways,Put.,Warehouse,Vacant,Asbestos
27177,"7237 Bishop Haven Apt. 112
Turnerburgh, NM 65389",4544,73,Industrial,7,Fair,Brick,"Alarms, Sprinklers, Extinguishers","None, Wide Doorways, Ramps",Inside notice help.,Office,Occupied,None
27178,"41135 Kaiser Underpass Suite 312
Lindseyborough, MN 89497",4365,86,Residential,4,Fair,Steel,"Alarms, Sprinklers","Elevator, Ramps, Wide Doorways, None",Affect our interest.,Office,Occupied,None
27179,"3172 Patrick Forges
New Sierra, CO 61411",7337,1,Industrial,9,Poor,Brick,"Alarms, Sprinklers",Wide Doorways,None,Warehouse,Vacant,None
27180,"USCGC Francis
FPO AA 80333",7344,35,Commercial,4,Fair,Wood,"Alarms, Sprinklers, Extinguishers","Elevator, None, Ramps, Wide Doorways",See reveal voice necessary.,Warehouse,Occupied,Lead Paint
27181,"58083 Jones Way Apt. 919
Harrisborough, NY 44786",6806,44,Industrial,3,Poor,Steel,"Sprinklers, Alarms, Extinguishers","Ramps, Elevator",None,Office,Vacant,Asbestos
27182,"734 Crystal Loaf
Joshuaborough, VT 55476",4362,81,Commercial,1,Good,Steel,Extinguishers,"Wide Doorways, Elevator, Ramps, None",None,Warehouse,Occupied,None
27183,"71636 Gloria Oval
East Jonathanhaven, DC 18304",1462,84,Commercial,2,Good,Brick,"Extinguishers, Sprinklers, Alarms","None, Wide Doorways, Elevator",Adult risk want.,Office,Vacant,Lead Paint
27184,"09195 Harris Neck
Port Beth, MN 65513",5627,12,Industrial,5,Poor,Brick,"Sprinklers, Extinguishers","None, Wide Doorways, Ramps, Elevator",Summer as.,Warehouse,Occupied,None
27185,"36223 Paul Gardens Apt. 380
North Cassidyfort, NV 35525",9969,69,Industrial,6,Poor,Wood,Sprinklers,"Elevator, Wide Doorways, None, Ramps",Fill could.,Warehouse,Vacant,Mold
27186,"USNV Brown
FPO AA 10234",4723,60,Industrial,9,Poor,Brick,"Extinguishers, Sprinklers, Alarms","Wide Doorways, Ramps",None,Warehouse,Occupied,Asbestos
27187,"89994 Jose Mission
Port Alexisberg, MS 46653",9182,36,Industrial,5,Fair,Wood,"Extinguishers, Sprinklers","Elevator, Wide Doorways, Ramps",Him something.,Office,Occupied,None
27188,"97880 Taylor Throughway Apt. 945
New Michelle, KS 86650",9478,62,Commercial,3,Excellent,Concrete,Extinguishers,None,During street growth.,Residential,Vacant,Mold
27189,"485 Jones Crossing Suite 539
Juliestad, PA 58497",3905,21,Residential,9,Poor,Wood,Sprinklers,Wide Doorways,Hotel.,Retail,Occupied,None
27190,"1738 Kristi Rest Apt. 046
Port Heather, MN 59362",5159,37,Industrial,6,Good,Concrete,Sprinklers,"Elevator, Wide Doorways",None,Warehouse,Vacant,None
27191,"PSC 3453, Box 4174
APO AP 32043",4180,97,Commercial,4,Good,Wood,Extinguishers,Elevator,None,Office,Vacant,None
27192,"53294 Philip Mount
Lawrenceville, NJ 15884",1768,13,Commercial,8,Excellent,Brick,"Sprinklers, Extinguishers","Ramps, Wide Doorways",Republican positive ever.,Warehouse,Vacant,None
27193,"779 Michelle Stravenue Apt. 962
Grahamhaven, CO 98308",9729,60,Commercial,2,Excellent,Wood,"Extinguishers, Sprinklers, Alarms",Ramps,Director coach.,Residential,Occupied,None
27194,"8295 Virginia Harbors
Felicialand, OH 20760",4961,74,Commercial,5,Poor,Steel,"Alarms, Sprinklers, Extinguishers","None, Elevator, Ramps",Poor born mention trial.,Warehouse,Vacant,None
27195,"5747 Lynch Underpass Suite 595
Washingtonshire, MO 31119",3011,34,Industrial,3,Poor,Concrete,"Sprinklers, Alarms","Ramps, Elevator, None",Data.,Office,Occupied,Asbestos
27196,"USNV Lopez
FPO AA 51098",2880,77,Industrial,2,Poor,Concrete,Extinguishers,"Elevator, Wide Doorways",None,Warehouse,Occupied,None
27197,"1923 Ann Landing
Christinahaven, MN 27303",965,43,Residential,10,Poor,Brick,Sprinklers,"None, Elevator, Ramps, Wide Doorways",Wish ever Republican.,Residential,Vacant,None
27198,"17683 Hudson Village
Lake Joannaburgh, NY 33460",8988,76,Commercial,10,Fair,Brick,Sprinklers,"Elevator, Wide Doorways",None,Warehouse,Occupied,None
27199,"407 Stevens Shoal Suite 596
Carrburgh, VA 12159",3954,72,Residential,7,Excellent,Concrete,"Sprinklers, Extinguishers","None, Elevator, Ramps",None,Residential,Occupied,Lead Paint
27200,"7854 Darren Manors
Perryshire, SD 98582",6266,11,Commercial,5,Excellent,Steel,Alarms,"None, Elevator, Ramps, Wide Doorways",None,Retail,Occupied,None
27201,"577 Brandon Cape
Perezfort, TX 28898",1162,88,Industrial,5,Excellent,Steel,"Sprinklers, Alarms",Elevator,None,Warehouse,Vacant,None
27202,"USNV Carney
FPO AA 35035",8060,33,Residential,3,Fair,Steel,"Alarms, Sprinklers, Extinguishers","Elevator, None",None,Residential,Vacant,None
27203,"49148 Ward Plain
East Stephanie, IA 82802",1019,27,Commercial,7,Fair,Wood,"Alarms, Extinguishers, Sprinklers","None, Ramps, Elevator",Main with wife.,Retail,Occupied,Asbestos
27204,"135 Mitchell Village Suite 014
New Johnton, DE 81903",3259,42,Residential,3,Fair,Concrete,Sprinklers,"Wide Doorways, Elevator, Ramps",None,Retail,Occupied,None
27205,"348 Nichole Light
Lake Catherinemouth, KY 41813",6191,44,Residential,3,Fair,Wood,"Extinguishers, Alarms, Sprinklers","Ramps, Elevator",None,Retail,Vacant,Asbestos
27206,"Unit 4381 Box 4681
DPO AP 22971",9853,74,Residential,1,Excellent,Steel,Sprinklers,"Wide Doorways, Ramps, Elevator, None",Oil language.,Residential,Vacant,Mold
27207,"17330 Buchanan Track
Port Austin, HI 57749",3258,11,Industrial,8,Fair,Concrete,"Sprinklers, Alarms, Extinguishers",None,None,Office,Occupied,Mold
27208,"0638 Burke Parkway
Lake Jimmy, TN 02795",9229,76,Commercial,2,Good,Brick,"Extinguishers, Alarms, Sprinklers","None, Wide Doorways, Ramps",Smile suffer decide.,Office,Vacant,None
27209,"360 Scott Ports
Beckmouth, WI 03769",9876,2,Residential,8,Good,Brick,"Extinguishers, Alarms",Ramps,Discover summer.,Retail,Occupied,None
27210,"8594 Fischer View Suite 974
Christopherland, IL 92338",2102,43,Industrial,8,Excellent,Brick,Alarms,"None, Ramps, Elevator, Wide Doorways",None,Retail,Occupied,Lead Paint
27211,"79117 Jennifer Stream
Lake Mark, LA 68669",6079,72,Residential,10,Poor,Concrete,"Extinguishers, Alarms, Sprinklers",Wide Doorways,None,Residential,Vacant,Mold
27212,"PSC 2560, Box 6626
APO AA 09024",8837,74,Residential,2,Excellent,Concrete,"Alarms, Sprinklers, Extinguishers","Wide Doorways, Ramps, None",Suggest word.,Warehouse,Occupied,Mold
27213,"USS Wells
FPO AP 33742",1684,10,Residential,4,Excellent,Steel,Sprinklers,"None, Wide Doorways, Elevator",None,Warehouse,Vacant,None
27214,"1893 Willis Parks Apt. 832
South Williamfurt, IN 55410",3889,58,Industrial,8,Fair,Wood,"Extinguishers, Sprinklers, Alarms","Ramps, Wide Doorways",Mrs memory number.,Warehouse,Vacant,Mold
27215,"487 Alvarez Fall Apt. 199
Lake Stephen, VA 57388",7929,85,Industrial,7,Fair,Brick,"Sprinklers, Extinguishers, Alarms","None, Ramps, Elevator, Wide Doorways",None,Retail,Vacant,None
27216,"81772 Avila Rest Suite 708
Lake Vanessaville, NJ 15710",954,93,Residential,6,Good,Wood,"Extinguishers, Alarms, Sprinklers",Elevator,None,Retail,Occupied,Asbestos
27217,"6111 Pena Rue Apt. 140
Port Walter, OR 21514",9125,81,Industrial,10,Good,Steel,"Alarms, Extinguishers","Ramps, Wide Doorways, Elevator",None,Warehouse,Vacant,None
27218,"84000 Wright Drives
West Benjaminchester, NH 66388",3045,40,Industrial,6,Poor,Steel,"Alarms, Extinguishers",Wide Doorways,None,Retail,Occupied,None
27219,"7064 Sara Port Apt. 735
Lauraview, MD 15773",6060,30,Commercial,2,Poor,Wood,Extinguishers,"Ramps, None, Wide Doorways",Outside tough.,Warehouse,Vacant,Mold
27220,"778 Butler Groves
Ronaldborough, WV 21521",8797,45,Residential,4,Fair,Brick,"Alarms, Sprinklers, Extinguishers","Ramps, None",None,Residential,Vacant,Mold
27221,"053 Larson Spur Apt. 539
Port Stephaniemouth, SC 92979",5229,77,Industrial,7,Poor,Concrete,"Alarms, Extinguishers","Wide Doorways, Elevator",Ground game budget.,Office,Occupied,Lead Paint
27222,"6673 Alexandria Turnpike
Amyville, ND 08466",4181,34,Residential,4,Excellent,Steel,Alarms,Ramps,Assume consumer ability.,Office,Vacant,Asbestos
27223,"31365 Patricia Roads Apt. 245
New Erin, NM 53807",3667,73,Industrial,2,Excellent,Steel,"Extinguishers, Sprinklers, Alarms","Ramps, Elevator, None, Wide Doorways",None,Residential,Vacant,None
27224,"5726 Williamson Centers Apt. 057
Adamshaven, TN 85461",1675,90,Industrial,1,Excellent,Concrete,"Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,None
27225,"722 Graham Canyon Apt. 195
West Michael, ME 21898",682,2,Industrial,7,Fair,Wood,"Extinguishers, Alarms, Sprinklers","Wide Doorways, None, Ramps",None,Retail,Occupied,None
27226,"16004 Mckinney Camp Apt. 175
Lake Susanshire, AK 79526",5794,91,Commercial,4,Good,Concrete,"Sprinklers, Extinguishers","Ramps, Wide Doorways",None,Retail,Vacant,None
27227,"4235 Logan Cliffs
Travisview, MA 86510",8774,44,Commercial,2,Good,Concrete,"Sprinklers, Extinguishers",Elevator,None,Office,Vacant,None
27228,"98971 Lopez Stravenue Apt. 171
Alyssaport, NC 61853",1698,62,Residential,10,Excellent,Concrete,Extinguishers,"Elevator, None",None,Retail,Vacant,None
27229,"929 Taylor Gardens Apt. 410
North Robertton, GA 37211",6444,99,Industrial,10,Poor,Wood,Extinguishers,"Elevator, None, Wide Doorways",None,Retail,Occupied,Mold
27230,"9937 Joshua Keys Suite 243
New Joshuaton, LA 22972",5250,33,Residential,8,Good,Steel,Sprinklers,"Elevator, Ramps, Wide Doorways",None,Warehouse,Vacant,Lead Paint
27231,"226 Steven Lock
Jacobland, NJ 00801",7927,72,Residential,8,Fair,Wood,Extinguishers,"Elevator, Ramps, None",None,Residential,Occupied,Asbestos
27232,"55724 Velasquez Shoal Suite 276
Andreatown, DE 40171",8926,78,Industrial,5,Excellent,Steel,"Sprinklers, Alarms","Elevator, Wide Doorways",None,Office,Vacant,None
27233,"6476 Jones Falls
Lake Adamville, IN 54883",9686,28,Commercial,6,Good,Wood,"Sprinklers, Alarms, Extinguishers","Ramps, Elevator, None, Wide Doorways",Course budget.,Residential,Occupied,None
27234,"4334 Johnson Circle
Samuelview, NY 56183",3566,75,Industrial,3,Fair,Wood,"Extinguishers, Alarms","None, Wide Doorways, Ramps, Elevator",None,Office,Vacant,None
27235,"044 Zimmerman Freeway Suite 624
East Rachel, CO 57295",1485,1,Industrial,4,Poor,Wood,"Alarms, Sprinklers, Extinguishers","Elevator, None",Will over political.,Warehouse,Vacant,Mold
27236,"859 Kenneth Village
South Matthewville, VT 54615",8218,13,Industrial,1,Poor,Wood,Extinguishers,Ramps,Little.,Warehouse,Vacant,Mold
27237,"93289 Brown Point
Walkerside, VT 07024",891,50,Industrial,6,Good,Brick,"Alarms, Sprinklers","Elevator, Wide Doorways, Ramps, None",None,Warehouse,Occupied,None
27238,"63626 Peters Expressway Suite 049
North Anna, NC 50490",1859,11,Industrial,4,Poor,Brick,Extinguishers,"Wide Doorways, Ramps, None",Week shoulder miss.,Office,Occupied,None
27239,"8506 Smith Street
Alvarezmouth, IN 58653",1922,19,Industrial,2,Good,Steel,"Alarms, Extinguishers, Sprinklers","Ramps, None",Risk truth.,Residential,Occupied,None
27240,"520 Ross Street Suite 334
Port Justinhaven, IL 24063",2767,70,Industrial,1,Fair,Steel,Sprinklers,"Elevator, Wide Doorways",None,Residential,Occupied,Lead Paint
27241,"PSC 8041, Box 7905
APO AE 28494",4854,86,Industrial,5,Poor,Steel,"Extinguishers, Sprinklers, Alarms","Elevator, Wide Doorways, None",Never other physical.,Residential,Vacant,None
27242,"9356 Chad Highway
Lake Lisa, MO 02684",3743,39,Commercial,8,Fair,Concrete,"Alarms, Sprinklers, Extinguishers",Ramps,Indeed space Democrat item.,Residential,Vacant,Mold
27243,"72515 Brittany Summit
Aprilton, NE 01408",657,49,Residential,6,Poor,Brick,"Sprinklers, Alarms, Extinguishers","Ramps, Elevator, Wide Doorways, None",None,Residential,Vacant,Mold
27244,"03808 Douglas Motorway Suite 015
Greenton, NE 31747",3581,72,Residential,3,Fair,Concrete,"Sprinklers, Alarms","None, Ramps, Elevator, Wide Doorways",High rich.,Office,Vacant,None
27245,"Unit 8526 Box 0387
DPO AP 91467",7243,8,Industrial,4,Poor,Brick,"Sprinklers, Extinguishers","None, Elevator, Wide Doorways, Ramps",Term yeah director.,Retail,Occupied,Lead Paint
27246,"73306 Stephanie Orchard Suite 199
New Karenbury, RI 35661",3618,20,Commercial,2,Good,Concrete,Extinguishers,"Ramps, Wide Doorways, Elevator",Drive economic.,Warehouse,Vacant,Mold
27247,"29121 Young Manor Apt. 999
Seanville, NV 21436",801,6,Residential,3,Excellent,Concrete,Sprinklers,"Wide Doorways, Elevator, Ramps",Lot factor three.,Residential,Occupied,None
27248,"341 Potter Grove
North Kevin, IN 46974",9979,73,Commercial,9,Poor,Brick,"Sprinklers, Alarms","Ramps, Elevator, None",Cold wife.,Residential,Vacant,None
27249,"3200 Mack Garden
Walkermouth, RI 91342",3370,94,Commercial,5,Good,Wood,"Extinguishers, Alarms",None,None,Warehouse,Vacant,None
27250,"Unit 6376 Box 2413
DPO AE 30218",536,34,Commercial,6,Poor,Wood,"Extinguishers, Alarms, Sprinklers","Elevator, None",Difficult life.,Office,Occupied,Mold
27251,"591 Jennifer Rapid
Margaretmouth, CO 01533",1052,27,Residential,9,Fair,Concrete,"Sprinklers, Alarms, Extinguishers",Elevator,None,Retail,Occupied,Mold
27252,"Unit 6700 Box 5497
DPO AP 01356",8749,62,Residential,5,Excellent,Concrete,"Sprinklers, Extinguishers","Wide Doorways, Elevator, None, Ramps",None,Warehouse,Occupied,Asbestos
27253,"173 William Mountains
East Albert, TX 99631",1030,98,Industrial,1,Good,Wood,"Extinguishers, Sprinklers","None, Wide Doorways",West either.,Warehouse,Vacant,None
27254,"28948 Charles Unions Apt. 815
Paulshire, VT 23140",7463,35,Industrial,6,Poor,Steel,Sprinklers,"Ramps, Elevator, Wide Doorways",Girl dream high.,Warehouse,Occupied,None
27255,"152 Melissa Fall
West Craigchester, IL 21731",4343,45,Industrial,3,Poor,Brick,"Extinguishers, Sprinklers, Alarms","Ramps, Wide Doorways, Elevator, None",None,Warehouse,Occupied,None
